ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
122208,Tsang Yi Ming,M,18,176,64,Hong Kong,HKG,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Butterfly,NA
122208,Tsang Yi Ming,M,18,176,64,Hong Kong,HKG,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,NA
122660,Samuela Tupou,M,29,185,79,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,NA
122660,Samuela Tupou,M,29,185,79,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Freestyle,NA
122660,Samuela Tupou,M,29,185,79,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,NA
122660,Samuela Tupou,M,29,185,79,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,NA
123291,Alberto Jos Umaa,M,18,178,64,Venezuela,VEN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
123291,Alberto Jos Umaa,M,18,178,64,Venezuela,VEN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
123291,Alberto Jos Umaa,M,18,178,64,Venezuela,VEN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Butterfly,NA
123460,Mara Antonieta Urbina,F,16,160,44,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Butterfly,NA
123460,Mara Antonieta Urbina,F,16,160,44,Mexico,MEX,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
